"instructorName","bio","photo"
"Urs Fischbacher","Urs FischbacherUrs Fischbacher is a Professor of Applied Economic Research at the University of Konstanz and director of the Thurgau Economic Institute. After his doctoral thesis in mathematics at the University of Zurich in 1985, he worked as a software developer in the industry and as a researcher at the Swiss Federal Institute WSL. In 1995, he moved to economics as a scientific programmer and later as a lecturer at the Institute for Empirical Research in Economics. There, he developed z-Tree, a programming language for interactive laboratory experiments that is being used worldwide in numerous research institutions. His research resulted in the habilitation in economics at the University of Zurich in 2006 on the topics of human motivation and cooperation. His research interests include experimental economics, behavioral economics with a focus on social norms, social preferences and the processes of human decision making.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2018/11/Foto-fürs-Web_Fischbacher-300x300.jpg"
"Peer C Fiss","Peer C. FissPeer Fiss is the Jill and Frank Fertitta Chair of Business Administration and a Professor of Management & Organization, and Sociology (by courtesy) at the University of Southern California. His research interests include organization theory, framing, and social categorization. He has also been working for almost two decades on the use of set-analytic methods in the social sciences, and specifically on the use of fuzzy set qualitative comparative analysis (QCA). His work has been published in the Academy of Management Journal, Academy of Management Review, Administrative Science Quarterly, American Sociological Review, MIS Quarterly, Organization Science, and the Strategic Management Journal, among others. His recent book with Charles Ragin on applying set-analytic methods to policy analysis is entitled Intersectional Inequality: Race, Class, Test Scores, and Poverty (University of Chicago Press, 2017).","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2020/09/Peer_Fiss-300x300.jpg"
"Roland Fuss","Roland FüssRoland Füss is Professor of Real Estate Finance at the University of St.Gallen and Member of the Board of the Swiss Institute for Banking and Finance s/bf-HSG and of the School of Finance. In addition, he is a Research Associate at the Centre for European Economic Research (ZEW), Mannheim, Germany. He studied economics at the University of Freiburg, Germany, from which he also obtained his doctoral degree and «habilitation». Roland Füss teaches courses in Statistics, Financial Econometrics, Real Estate Economics, and Real Estate Finance. His main research topics are in the field of empirical asset pricing, real estate finance and economics, risk management, and applied financial econometrics. His research has been published in economics and finance journals such as Journal of Financial and Quantitative Analysis, Review of Finance, Journal of Economic Dynamics and Control, and Journal of Money, Credit and Banking.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2017/12/Füss_photo_web-300x300.jpg"
"William Hampton","William HamptonDr. William Hampton is a postdoctoral research fellow at the Institute for Marketing at St. Gallen. He obtained his BA in Psychology from the University of Pennsylvania, followed by an interdisciplinary PhD from Temple University in Decision Neuroscience. His research has been published in top Psychology, Neuroscience, and Marketing journals. His current research focus is at the intersection of reward based decision making and human computer interaction. ","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2019/01/Hampton_photo-300x300.jpg"
"Gerald Haubl","Gerald HäublGerald Häubl is the Canada Research Chair in Behavioral Science and a Professor of Marketing at the University of Alberta (School of Business), as well as a Research Professor in Marketing and Consumer Behavior at the University of St. Gallen (Research Center for Customer Insight). His research has been published in numerous leading journals across various domains of behavioral science. Professor Häubl has received several significant research-related awards and recognitions, including the 2000 Petro Canada Young Innovator Award and the Alexander von Humboldt Foundation’s 2012 Friedrich Wilhelm Bessel Research Award.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/GeraldHaeubl_web-300x300.jpg"
"Andrew F Hayes","Andrew F. HayesAndrew F. Hayes is Professor of Quantitative Psychology at The Ohio State University in Columbus, Ohio, USA. He does research on methods of examining the mechanisms by which causal processes operate and the contingencies of those process.  His work on statistical methods, including moderation, mediation, and conditional process analysis, has been published in such journals as American Behavioral Scientist, Psychological Methods, Psychological Science, Behavior Research Methods, Multivariate Behavioral Research, and the British Journal of Mathematical and  Statistical Psychology, as well as various edited books. He wrote the PROCESS macro for SPSS, SAS, and R that has become widely used by researches in many disciplines interested in testing the mechanisms and contingencies of effects. He is author of “An Introduction to Mediation, Moderation, and Conditional Process Analysis” published (in its 2nd edition) in 2018 by the Guilford Press, and his fourth book, “Regression and Linear Models,” (co-authored with Richard  B. Darlington) was released in the summer of 2016. He teaches graduate level courses in introductory statistics, regression analysis, and moderation and mediation analysis, and he conducts workshops throughout the world on these topics. According to Google Scholar, his work has been cited over 100,000 times, and he was identified by the Web of Science group as a 2019 Highly Cited Researcher.  He can be found in cyberspace at www.afhayes.com.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/Andrew-Hayes.png"
"Michael T Heaney","Michael T. HeaneyMichael T. Heaney is a Lecturer at the University of Glasgow in the School of Social and Political Sciences.  He holds a Ph.D. in Political Science and Public Policy from the University of Chicago.  His research focuses on interest groups, political parties, and social movements, with an emphasis on the insights that emerge from social network analysis.  His research appears in a wide range of academic journals, such as the American Political Science Review, The American Journal of Sociology, The Journal of Politics, Science Advances and Social Networks. With Fabio Rojas, he is co-author of the book Party in the Street: The Antiwar Movement and the Democratic Party after 9/11, published by Cambridge University Press in 2015.  With Melody Shemtov and Marco Roldán, he is creator, producer, and writer of a documentary film, The Activists: War, Peace, and Politics in the Streets, which has been distributed by Bullfrog Films since 2017. ","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2020/12/heaney_michael2-300x300.jpg"
"Andreas Herrmann","Andreas HerrmannAndreas Herrmann is Professor of Marketing and Director of the Institute of Customer Insight at the University of St.Gallen, Switzerland. He studied Business Administration, Law and Economics, holds a Ph.D. in Marketing from the Koblenz School of Corporate Management, Germany and did his habilitation at the University of Mannheim, Germany. His main research interests are Marketing Management and Behavioral Economics. Andreas Herrmann is author of 15 books and more than 250 journal articles. His recent publication deals with Autonomous Driving (with W. Brenner and R. Stadtler).","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2018/12/Herrmann_Andreas_20161205_Web-300x300.jpg"
"Reto Hofstetter","Reto HofstetterProfessor Reto Hofstetter received a PhD, MA, and BA in business administration and economics from the University of Bern Switzerland, and also a BA in computer science from the University of Applied Sciences of Bern. Professor Hofstetter is currently a Professor of Marketing at the Faculty of Economics and Management of the University of Lucerne. Before Lucerne, he was faculty member at the Università della Svizzera italiana (USI) and served as assistant professor at the University of St. Gallen. He visited the Wharton School and Stanford University as part of his research. Professor Hofstetter’s current research focuses on digital consumer behavior, crowdsourcing, creativity, self-presentation, -reporting and disclosure. His research has been published in top-tier academic journals, including the Journal of Marketing Research, Management Science, or PNAS and has been featured by Harvard Business Review or Forbes.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2018/11/csm_Hofstetter_Reto_Q_ec0c57fcd5-300x300.jpg"
"Michael Kalish","Michael KalishMike Kalish is a Professor of Psychology at Syracuse University.  He earned a PhD in Cognitive Science from UC San Diego and has held academic positions in both the US and Australia.  His primary research area is the psychology of category learning, which has lead him to work on areas of methodology including State-Trace Analysis and Bayesian estimation and model selection.  He frequently teaches postgraduate level courses on Bayesian statistics.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2016/11/Kalish_Foto_web-300x300.jpg"
"Ted Kwartler","Ted KwartlerTed Kwartler is an adjunct professor at Harvard University’s Extension School, author of the book “Text Mining in Practice with R” and has two NLP courses on DataCamp.com. He has worked at amazon.com and was an early employee at DataRobot. At both he had the opportunity to apply data science to benefit customers, and improve business decision making. Ted holds an MBA from the University of Notre Dame (USA) with a concentration in Marketing Analytics.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2018/11/FotoWeb_Ted_Kwartler_IMG_1830-300x300.jpg"
"Brett Lantz","Brett LantzBrett Lantz is a data scientist at the University of Michigan and the author of Machine Learning with R, a best-selling textbook praised for its beginner-friendly practical approach to the topic. After studying sociology and machine learning at the University of Michigan (B.S.) and University of Notre Dame (M.A.), Brett has spent more than 10 years using innovative data methods to understand human behavior. First captivated by machine learning while studying a large database of teenagers’ social network profiles, Brett has since worked on interdisciplinary studies of cellular telephone calls, medical billing data, and philanthropic activity, among others.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2016/11/BrettLantz-web-300x300.jpg"
"Michael Lechner","Michael LechnerMichael Lechner studied economics at the University of Heidelberg (graduation 1989). Then he moved to the Economics Department of the University of Mannheim to finish his PhD in 1994 under the supervision of Professor Dr. Heinz König. Following the ‘old German model’ Michael Lechner completed the habilitation at the same place in 1996. During these times, he spent one year at the London School of Economics (1986/7) and at Harvard University (John-F. Kennedy fellow in 1994/5). Since 1998 Michael Lechner is a Professor of Econometrics in St. Gallen. He is also head of the Swiss Institute for Empirical Economic Research (SEW), which is a fine research institute of the University of St. Gallen dedicated to excellent empirical research.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/M_Lechner.png"
"Tim Mcdaniel","Tim McDanielTim McDaniel is a tenured faculty member at Buena Vista University, a four-year college in the USA, with a joint appointment in the School of Business and the School of Science & Mathematics. He has taught courses in introductory and advanced statistical analysis, given presentations on pedagogy and on research methodology, and served as a consultant on a variety of academic and private sector projects. He has been selected by professional colleagues and by students as the recipient of multiple teaching awards.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/Portrait-2019-300x300.jpg"
"Michael Schulte Mecklenbeck","Michael Schulte-MecklenbeckMichael Schulte-Mecklenbeck earned a Phd in Psychology at the University of Fribourg, Switzerland and completed his Habilitation in Business Administration at the University of Bern, Switzerland. He held positions at the Columbia Business School, New York; the Max Planck Institute for Human Development, Berlin and the Nestlé Research Center, Lausanne. Currently he is holding the position of an Associate Professor for methodology and decision science at the University of Bern.His research interests are focused on processes of information acquisition and the connected measurement methods (eye-tracking, mousetracking). He edited two books on this topic which were both widely recognized as the standard references for process tracing methods. Professor Schulte-Mecklenbeck is a proponent of open science, open publishing and open data and is the node leader in the Swiss Replication Network for the University of Bern.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2020/10/Schulte-Mecklenbeck-300x300.jpeg"
"Paul Mihas","Paul MihasPaul Mihas is the Assistant Director of Education and Qualitative Analysis at the Odum Institute for Research in Social Science at the University of North Carolina at Chapel Hill, NC in the United States. In addition to planning the short course program at the Odum Institute, he also teaches campus-wide short courses on qualitative methods and software. He is the former managing editor of Social Forces, a journal of sociology published at the University of North Carolina Press. He has lectured on qualitative methods at various universities and at the annual ResearchTalk Qualitative Research Summer Intensive since 2005. His interests include memo writing as a stand-alone method; his qualitative research focuses on cancer survivors and metaphors for illness and the body. Paul Mihas received an M.A. (1989) from the University of North Carolina at Chapel Hill.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/mihas_paul.png"
"Sara Mclaughlin Mitchell","Sara McLaughlin MitchellSara McLaughlin Mitchell is the F. Wendell Miller Professor of Political Science at the University of Iowa. She received her Ph.D. in Political Science at Michigan State University in 1997 and her B.S. degree in Economics and Political Science at Iowa State University in 1991. She is author of Domestic Law Goes Global: Legal Traditions and International Courts (Cambridge University Press 2011), Guide to the Scientific Study of International Processes (Wiley-Blackwell 2012), Conflict, War, and Peace: An Introduction to Scientific Research (CQ Press/Sage 2013), The Triumph of Democracy and the Eclipse of the West (Palgrave Macmillan 2014), and What Do We Know About Civil Wars? (Rowman Littlefield 2016). She has edited several special journal issues and published more than forty journal articles and book chapters. She is the recipient of several major research awards from the Department of Defense, National Science Foundation, and the United States Agency for International Development. Her areas of expertise include international conflict, political methodology, and gender issues in academia. Professor Mitchell is co-founder of the Journeys in World Politics workshop, a mentoring workshop for junior women studying international relations. She received the Faculty Scholar Award (2007-2010), Collegiate Scholar Award (2011), and the Graduate College Outstanding Faculty Mentor Award (2012) from the University of Iowa, the Quincy Wright Distinguished Scholar Award (2015) from the International Studies Association, a distinguished alumni award from Iowa State University, and she served as President of the Peace Science Society.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/Mitchellphoto.png"
"Lorenz Meuli","Lorenz MeuliLorenz Meuli is a medical doctor working as a resident in vascular surgery at the Canton Hospital St. Gallen, Switzerland. Besides his clinical work, he is a statistical reviewer for the European Journal of Vascular and Endovascular Surgery.Lorenz holds a Doctoral Degree in Medicine (M.D.) at the University of Bern, Switzerland, and a Masters Degree in Medical Statistics (M.Sc.) at the Center of Evidence Based-Medicine at the University of Oxford, UK.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2019/12/Meuli-300x300.jpg"
"John Poe","John PoeJohn Poe is a statistician at the University of Michigan Medical School in the division of General Medicine. His research is on health policy and statistics with a focus on multilevel models and causal inference. He also teaches advanced multilevel modeling at the ICPSR Summer Program at the University of Michigan. Prior to working at UM, he was postdoctoral research scholar and research methodologist with the Center for Health Services and Systems Research at the University of Kentucky. He also received his Ph.D. in Political Science at the University of Kentucky in 2017 as well as a B.A. in Political Science from the University of Arkansas.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2017/12/POE_John_web-300x300.jpg"
"Korbinian Riedhammer","Korbinian RiedhammerProf. Dr. Korbinian Riedhammer earned his diploma and doctoral degrees in computer science (Diplom Informatik, Doktor-Ingenieur) at the University of Erlangen-Nürnberg, Germany, in 2007 and 2012, respectively. His dissertation is focused on automatic speech recognition and understanding, and how such technologies can be used to extract knowledge from spoken documents. From 2012-2013, he was a postdoctoral visiting scientist at the International Computer Science (UC Berkeley) working on low-resource methods for keyword search in the context of the IARPA Babel program. In 2014, he cofounded Remeeting (now Mod9 Technolgies), a venture-backed startup that provides highly customizable on-premise solutions for speech recognition and indexing. In 2016, he returned to Germany as a tenured full professor for computer science at the Technische Hochschule Rosenheim. Since 2019, he is professor for software architecture and machine learning at the Technische Hochschule Nürnberg, where he also serves as the dean of students in the CS department.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2020/01/Riedhammer_Foto-300x300.jpg"
"Shawna Smith","Shawna N. SmithShawna N. Smith is currently a Research Assistant Professor at the University of Michigan Medical School and the Institute for Social Research Quantitative Methods Program. She is also a faculty affiliate of the Institute for Health Policy and Innovation, the Michigan Program for Value Enhancement, and the Data Science for Dynamic Decision Making lab. Dr. Smith is a health services researcher and implementation scientist. Her research focuses on using innovative experimental methods for improving access to evidence-based care through development of implementation interventions that encourage behavior change and evidence-based practice uptake. Dr. Smith also works in mobile health, and is a co-author of several key papers on just-in-time adaptive interventions JITAI) in mobile health. As an applied methodologist, Dr. Smith regularly teaches workshops on two innovative methods for informing adaptive interventions—sequential multiple-assignment randomized trial (SMART) and micro-randomized trials (MRT). Dr. Smith’s work has been funded by the US National Institutes of Health, the Agency for Healthcare Research and Quality, US Institute for Education, and numerous foundations. In addition to teaching with GSERM, Dr. Smith has been an instructor with the ICPSR Summer Program since 2012.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/DSC_0124-002-300x300.jpg"
"Stefan Sperlich","Stefan SperlichProf. Stefan Sperlich made his diploma in mathematics at the University of Göttingen and holds a PhD in economics from the Humboldt University of Berlin. From 1998 to 2006 he was Professor for statistics at the University Carlos III de Madrid, from 2006 to 2010 chair of econometrics at the University of Göttingen, and is since 2010 professor for statistics and econometrics at the University of Geneva. His research interests are ranging from nonparametric statistics over small area statistics to empirical economics, in particular impact evaluation methods. He has been working since about 15 years as consultant for regional, national and international institutions, participated in development programs like EUROSociAL or UN assessment reports, is cofounder of the research center ‘Poverty, Equity and Growth in Developing Countries’ at the University of Göttingen, and research fellow at the Center for Evaluation and Development (Mannheim, Germany). He published in various top ranked scientific journals of different fields and was awarded in 2002 with the Koopmans econometric theory prize .","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2020/10/Foto_SperlichS.png"
"Martin Spindler","Martin SpindlerMartin Spindler is Professor of Statistics at the Department of Business Administration (Hamburg Business School) at the University of Hamburg. He studied Economics and Mathematics and holds a Ph.D. from the Ludwig-Maximilians-University in Munich, Germany. Amongst others, he was awarded a research prize of the Geneva Association. His research interests are Machine Learning methods and their application to problems in economics and business administration, in particular finance, insurance and health economics. He also leads the department “Big Data & Digital Health” at the Hamburg Center for Health Economics.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2018/11/Foto-Spindler-e1543306282867-300x300.jpg"
"Dirk Wulff","Dirk WulffDr. Dirk Wulff received a PhD in Psychology from the University of Basel following a diploma in Psychology at the University Marburg. After holding positions at the Max Planck Institut for Human Development, Berlin, Dr. Wulff currently is a research scientist at the University of Basel and an associate research scientist at the Max Planck Institut for Human Development, Berlin. In his research, Dr. Wulff uses big data approaches to understand of human cognition and behavior with a focus on language and decision making. His research has been published in premier journals in Psychology and Cognitive Science including Psychological Science, Psychological Bulletin, and Trends in Cognitive Sciences. In addition to his academic work, Dr. Wulff is a prolific data science educator and consultant. Through his The R Bootcamp (www.therbootcamp.com), he offers a series of advanced training courses on data visualization, statistics and machine learning and consults on these topics for academic institutions and businesses.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2020/10/Dirk_Wulff_Foto_klein-300x300.jpg"
"Kunpeng Zhang","Kunpeng ZhangKunpeng Zhang (KZ) is a researcher in the area of large-scale data analysis with particular focuses on mining social media data through machine learning, network analysis, and natural language processing techniques. He is currently Assistant Professor in department of Information Systems at the Smith School of Business, University of Maryland, college Park. He received his Ph.D. in Computer Science from Northwestern University. He published papers in the area of social media, text mining, network analysis, and information systems on top conference and journals. He serves as program committees for many international conferences and currently is Associate Editor for Electronic Commerce research journal. For more information, please see his website: http://www.terpconnect.umd.edu/~kpzhang/ ","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2017/12/Kunpeng_ZHANG_web-300x300.jpg"
"Christopher Zorn","Christopher ZornChristopher Zorn is the Liberal Arts Research Professor of Political Science, Professor of Sociology and Crime, Law, and Justice (by courtesy), and Affiliate Professor of Law at Pennsylvania State University. He holds a Ph.D. in political science from Ohio State University (1997) and a B.A. in political science and philosophy from Truman State University (1991). His research focuses on judicial politics and on statistics for the social and behavioral sciences. His work has appeared in the American Political Science Review, the American Journal of Political Science, the Journal of Politics, the Journal of Law, Economics and Organization, Political Analysis, and numerous other journals. Professor Zorn is also the recipient of eight grants from the NSF, as well as numerous other fellowships and awards.","https://www.gserm.ch/stgallen/wp-content/uploads/sites/3/2015/12/Zorn_photo.png"
