"ProviderName","Address","PhoneNumber","stLevel","cityLevel","zip","country","city","state","stateAbb","county","lat","lon","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP","dupeLocation"
"University Urgent Care","Clinic Drive  Mobile, AL   ZIP 36688","(251) 414-8101","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-mobile-alabama","36688","US","Mobile","Alabama","AL","Mobile",30.6962,-88.1821,"Mobile County","AL",1097,"H1",FALSE
"1STMED Urgent & Family Care","Dothan, AL 36301, United States  Dothan, AL   ZIP 36301","(334) 793-9595","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36301","US","Dothan","Alabama","AL","Houston",31.1481,-85.3718,"Geneva County","AL",1061,"H1",FALSE
"1STMED Urgent & Family Care","Dothan, AL 36301, United States  Dothan, AL   ZIP 36301","(334) 793-9595","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36301","US","Dothan","Alabama","AL","Houston",31.1481,-85.3718,"Houston County","AL",1069,"H1",TRUE
"Allsouth Urgent Care Clinic","4585 Montgomery Highway  Dothan, AL   ZIP 36303","(334) 340-2600","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36303","US","Dothan","Alabama","AL","Houston",31.2668,-85.3971,"Dale County","AL",1045,"H1",FALSE
"Allsouth Urgent Care Clinic","4585 Montgomery Highway  Dothan, AL   ZIP 36303","(334) 340-2600","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36303","US","Dothan","Alabama","AL","Houston",31.2668,-85.3971,"Henry County","AL",1067,"H1",TRUE
"Allsouth Urgent Care Clinic","4585 Montgomery Highway  Dothan, AL   ZIP 36303","(334) 340-2600","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36303","US","Dothan","Alabama","AL","Houston",31.2668,-85.3971,"Houston County","AL",1069,"H1",TRUE
"AllSouth Urgent Care West","4550 West Main Street  Dothan, AL   ZIP 36305","(334) 699-1600","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36305","US","Dothan","Alabama","AL","Houston",31.2197,-85.4828,"Geneva County","AL",1061,"H1",FALSE
"AllSouth Urgent Care West","4550 West Main Street  Dothan, AL   ZIP 36305","(334) 699-1600","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36305","US","Dothan","Alabama","AL","Houston",31.2197,-85.4828,"Houston County","AL",1069,"H1",TRUE
"First Med Urgent & Family Care","Dothan, AL 36303, United States  Dothan, AL   ZIP 36303","(334) 792-6936","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36303","US","Dothan","Alabama","AL","Houston",31.2668,-85.3971,"Dale County","AL",1045,"H1",FALSE
"First Med Urgent & Family Care","Dothan, AL 36303, United States  Dothan, AL   ZIP 36303","(334) 792-6936","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36303","US","Dothan","Alabama","AL","Houston",31.2668,-85.3971,"Henry County","AL",1067,"H1",TRUE
"First Med Urgent & Family Care","Dothan, AL 36303, United States  Dothan, AL   ZIP 36303","(334) 792-6936","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-dothan-alabama","36303","US","Dothan","Alabama","AL","Houston",31.2668,-85.3971,"Houston County","AL",1069,"H1",TRUE
"Alabama Urgent Care For Women","3007 Memorial Parkway Southwest ## D  Huntsville, AL   ZIP 35801","(256) 382-5205","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-huntsville-alabama","35801","US","Huntsville","Alabama","AL","Madison",34.7269,-86.5673,"Madison County","AL",1089,"H1",FALSE
"Alabama Urgent Care PC","2358 Whitesburg Dr S  Huntsville, AL   ZIP 35801","(256) 539-7680","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-huntsville-alabama","35801","US","Huntsville","Alabama","AL","Madison",34.7269,-86.5673,"Madison County","AL",1089,"H1",FALSE
"Hwy 53 Urgent Health Care","3740 Alabama 53 #Y  Huntsville, AL   ZIP 35806","(256) 859-0555","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-huntsville-alabama","35806","US","Huntsville","Alabama","AL","Madison",34.7448,-86.6704,"Madison County","AL",1089,"H1",FALSE
"Urgent Medcare","46 Shields Road  Huntsville, AL   ZIP 35811","(256) 382-3680","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-huntsville-alabama","35811","US","Huntsville","Alabama","AL","Madison",34.7789,-86.5438,"Madison County","AL",1089,"H1",FALSE
"Cullman Heart & Urgent Care Pc","1803 Park View Dr  Cullman, AL   ZIP 35058","(256) 255-1900","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-cullman-alabama","35058","US","Cullman","Alabama","AL","Cullman",34.2098,-86.752,"Cullman County","AL",1043,"H1",FALSE
"Cullman Primary Care-Urgent Care-Industrial Health Medicine","1406 Wall Street  Cullman, AL   ZIP 35055","(256) 736-2856","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-cullman-alabama","35055","US","Cullman","Alabama","AL","Cullman",34.1761,-86.8298,"Cullman County","AL",1043,"H1",FALSE
"Cullman Urgent Care","1701 Main Avenue Southwest #A  Cullman, AL   ZIP 35055","(256) 737-0880","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-cullman-alabama","35055","US","Cullman","Alabama","AL","Cullman",34.1761,-86.8298,"Cullman County","AL",1043,"H1",FALSE
"Auburn Urgent Care, Inc.","1456 Opelika Road  Auburn, AL   ZIP 36832","(334) 826-8950","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-auburn-alabama","36832","US","Auburn","Alabama","AL","Lee",32.592,-85.5189,"Lee County","AL",1081,"H1",FALSE
"Auburn Urgent Care, Inc.","1456 Opelika Road  Auburn, AL   ZIP 36832","(334) 826-8950","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-auburn-alabama","36832","US","Auburn","Alabama","AL","Lee",32.592,-85.5189,"Macon County","AL",1087,"H1",TRUE
"Moore's Mill Urgent Care","2415 Moores Mill Road #230  Auburn, AL   ZIP 36830","(334) 502-1117","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-auburn-alabama","36830","US","Auburn","Alabama","AL","Lee",32.5475,-85.4682,"Bullock County","AL",1011,"H1",FALSE
"Moore's Mill Urgent Care","2415 Moores Mill Road #230  Auburn, AL   ZIP 36830","(334) 502-1117","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-auburn-alabama","36830","US","Auburn","Alabama","AL","Lee",32.5475,-85.4682,"Lee County","AL",1081,"H1",TRUE
"Moore's Mill Urgent Care","2415 Moores Mill Road #230  Auburn, AL   ZIP 36830","(334) 502-1117","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-auburn-alabama","36830","US","Auburn","Alabama","AL","Lee",32.5475,-85.4682,"Macon County","AL",1087,"H1",TRUE
"Choctaw Urgent Care","1 Independence Sq, Butler, AL 36904, United States  Butler, AL   ZIP 36904","(205) 459-4488","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-butler-alabama","36904","US","Butler","Alabama","AL","Choctaw",32.0829,-88.2064,"Choctaw County","AL",1023,"H1",FALSE
"Choctaw Urgent Care","1 Independence Sq, Butler, AL 36904, United States  Butler, AL   ZIP 36904","(205) 459-4488","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-butler-alabama","36904","US","Butler","Alabama","AL","Choctaw",32.0829,-88.2064,"Marengo County","AL",1091,"H1",TRUE
"Choctaw Urgent Care Center","1404 East Pushmataha Street  Butler, AL   ZIP 36904","(205) 459-4424","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-butler-alabama","36904","US","Butler","Alabama","AL","Choctaw",32.0829,-88.2064,"Choctaw County","AL",1023,"H1",FALSE
"Choctaw Urgent Care Center","1404 East Pushmataha Street  Butler, AL   ZIP 36904","(205) 459-4424","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-butler-alabama","36904","US","Butler","Alabama","AL","Choctaw",32.0829,-88.2064,"Marengo County","AL",1091,"H1",TRUE
"Eastern Shore Urgent Care Center","29710 urgent care Drive  Daphne, AL   ZIP 36526","(251) 626-3782","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-daphne-alabama","36526","US","Daphne","Alabama","AL","Baldwin",30.6197,-87.8895,"Baldwin County","AL",1003,"H1",FALSE
"Urgent Care by the Bay","1208 U.S. 98  Daphne, AL   ZIP 36526","(251) 626-5377","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-daphne-alabama","36526","US","Daphne","Alabama","AL","Baldwin",30.6197,-87.8895,"Baldwin County","AL",1003,"H1",FALSE
"Community Urgent Care of Fultondale","3477 Lowery Parkway #137  Fultondale, AL   ZIP 35068","(205) 379-6040","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-fultondale-alabama","35068","US","Fultondale","Alabama","AL","Jefferson",33.6017,-86.8265,"Jefferson County","AL",1073,"H1",FALSE
"Southeast Urgent Care at Fultondale","339 Walker Chapel Plaza #115  Fultondale, AL   ZIP 35068","(205) 841-2844","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-fultondale-alabama","35068","US","Fultondale","Alabama","AL","Jefferson",33.6017,-86.8265,"Jefferson County","AL",1073,"H1",FALSE
"Clubview Urgent Care","3417 Western Avenue  Gadsden, AL   ZIP 35904","(256) 549-1996","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-gadsden-alabama","35904","US","Gadsden","Alabama","AL","Etowah",34.0217,-86.0495,"Etowah County","AL",1055,"H1",FALSE
"Physicians Urgent & Family Med","1039 Forrest Avenue  Gadsden, AL   ZIP 35901","(256) 543-7406","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-gadsden-alabama","35901","US","Gadsden","Alabama","AL","Etowah",34.048,-85.9246,"Cherokee County","AL",1019,"H1",FALSE
"Physicians Urgent & Family Med","1039 Forrest Avenue  Gadsden, AL   ZIP 35901","(256) 543-7406","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-gadsden-alabama","35901","US","Gadsden","Alabama","AL","Etowah",34.048,-85.9246,"Etowah County","AL",1055,"H1",TRUE
"Glover Drug UrgentCare NW","2708 Highway 78  Jasper, AL   ZIP 35501","(205) 387-1800","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-jasper-alabama","35501","US","Jasper","Alabama","AL","Walker",33.8312,-87.2775,"Walker County","AL",1127,"H1",FALSE
"Urgent Care Northwest","2700 Highway 78 East  Jasper, AL   ZIP 35501","(205) 387-2253","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-jasper-alabama","35501","US","Jasper","Alabama","AL","Walker",33.8312,-87.2775,"Walker County","AL",1127,"H1",FALSE
"Urgent Care of Madison","3751 Sullivan Street  Madison, AL   ZIP 35758","(256) 772-4211","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-madison-alabama","35758","US","Madison","Alabama","AL","Madison",34.7108,-86.7425,"Madison County","AL",1089,"H1",FALSE
"Urgent MedCare","7583 Wall Triana Highway  Madison, AL   ZIP 35757","(256) 830-5777","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-madison-alabama","35757","US","Madison","Alabama","AL","Madison",34.7782,-86.7442,"Limestone County","AL",1083,"H1",FALSE
"Urgent MedCare","7583 Wall Triana Highway  Madison, AL   ZIP 35757","(256) 830-5777","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-madison-alabama","35757","US","Madison","Alabama","AL","Madison",34.7782,-86.7442,"Madison County","AL",1089,"H1",TRUE
"MedSouth Urgent Care","12287 U.S. 231  Meridianville, AL   ZIP 35759","(256) 828-1154","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-meridianville-alabama","35759","US","Meridianville","Alabama","AL","Madison",34.8618,-86.5789,"Madison County","AL",1089,"H1",FALSE
"Urgent Medcare","12287 U.S. 231  Meridianville, AL   ZIP 35759","(256) 828-1154","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-meridianville-alabama","35759","US","Meridianville","Alabama","AL","Madison",34.8618,-86.5789,"Madison County","AL",1089,"H1",TRUE
"Eastside Urgent Care","14 Mitylene Park Drive  Montgomery, AL   ZIP 36117","(334) 213-4433","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-montgomery-alabama","36117","US","Montgomery","Alabama","AL","Montgomery",32.3736,-86.1833,"Montgomery County","AL",1101,"H1",FALSE
"Obelisk Healthcare - Urgent Care","4705 Woodmere Boulevard  Montgomery, AL   ZIP 36106","(334) 558-0262","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-montgomery-alabama","36106","US","Montgomery","Alabama","AL","Montgomery",32.3543,-86.2673,"Montgomery County","AL",1101,"H1",FALSE
"Med Center Urgent Care","3909 McFarland Boulevard  Northport, AL   ZIP 35476","(205) 333-1993","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-northport-alabama","35476","US","Northport","Alabama","AL","Tuscaloosa",33.2273,-87.5943,"Tuscaloosa County","AL",1125,"H1",FALSE
"Northport Urgent Care","2810 Lurleen B Wallace Boulevard  Northport, AL   ZIP 35476","(205) 333-7670","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-northport-alabama","35476","US","Northport","Alabama","AL","Tuscaloosa",33.2273,-87.5943,"Tuscaloosa County","AL",1125,"H1",FALSE
"Bama Urgent Medicine","1771 Skyland Boulevard East  Tuscaloosa, AL   ZIP 35405","(205) 553-0199","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-tuscaloosa-alabama","35405","US","Tuscaloosa","Alabama","AL","Tuscaloosa",33.1617,-87.5144,"Tuscaloosa County","AL",1125,"H1",FALSE
"Crimson Urgent Care","1718 Veterans Memorial Parkway #A  Tuscaloosa, AL   ZIP 35404","(205) 507-1100","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-tuscaloosa-alabama","35404","US","Tuscaloosa","Alabama","AL","Tuscaloosa",33.1826,-87.4827,"Tuscaloosa County","AL",1125,"H1",FALSE
"Alexandria Urgent Care & Family Medicine","650 Valley Club Drive, Alexandria, AL 36250, United States  Alexandria, AL   ZIP 36250","(256) 848-3443","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-alexandria-alabama","36250","US","Alexandria","Alabama","AL","Calhoun",33.7808,-85.8924,"Calhoun County","AL",1015,"H1",FALSE
"Urgent Care At Atmore","406 Medical Park Drive  Atmore, AL   ZIP 36502","(251) 368-6245","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-atmore-alabama","36502","US","Atmore","Alabama","AL","Escambia",31.0572,-87.4873,"Baldwin County","AL",1003,"H1",FALSE
"Urgent Care At Atmore","406 Medical Park Drive  Atmore, AL   ZIP 36502","(251) 368-6245","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-atmore-alabama","36502","US","Atmore","Alabama","AL","Escambia",31.0572,-87.4873,"Conecuh County","AL",1035,"H1",TRUE
"Urgent Care At Atmore","406 Medical Park Drive  Atmore, AL   ZIP 36502","(251) 368-6245","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-atmore-alabama","36502","US","Atmore","Alabama","AL","Escambia",31.0572,-87.4873,"Escambia County","AL",1053,"H1",TRUE
"Urgent Care At Atmore","406 Medical Park Drive  Atmore, AL   ZIP 36502","(251) 368-6245","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-atmore-alabama","36502","US","Atmore","Alabama","AL","Escambia",31.0572,-87.4873,"Monroe County","AL",1099,"H1",TRUE
"Infirmary Health Urgent Care","108 McMeans Avenue  Bay Minette, AL   ZIP 36507","(251) 937-7100","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-bay-minette-alabama","36507","US","Bay Minette","Alabama","AL","Baldwin",30.8635,-87.7644,"Baldwin County","AL",1003,"H1",FALSE
"Floyd Urgent Care & Primary Care of Centre","391 Northwood Drive  Centre, AL   ZIP 35960","(256) 927-7412","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-centre-alabama","35960","US","Centre","Alabama","AL","Cherokee",34.1116,-85.6092,"Cherokee County","AL",1019,"H1",FALSE
"Chelsea Urgent Care","15582 Old Highway 280  Chelsea, AL   ZIP 35043","(205) 678-3924","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-chelsea-alabama","35043","US","Chelsea","Alabama","AL","Shelby",33.2982,-86.6563,"Shelby County","AL",1117,"H1",FALSE
"Greater Mobile Urgent Care","19355 North 3rd Street  Citronelle, AL   ZIP 36522","(251) 633-0123","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-citronelle-alabama","36522","US","Citronelle","Alabama","AL","Mobile",31.0425,-88.2549,"Mobile County","AL",1097,"H1",FALSE
"Greater Mobile Urgent Care","19355 North 3rd Street  Citronelle, AL   ZIP 36522","(251) 633-0123","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-citronelle-alabama","36522","US","Citronelle","Alabama","AL","Mobile",31.0425,-88.2549,"Washington County","AL",1129,"H1",TRUE
"Chilton Urgent Care","1210 7th Street South  Clanton, AL   ZIP 35045","(205) 280-0620","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-clanton-alabama","35045","US","Clanton","Alabama","AL","Chilton",32.8355,-86.6425,"Chilton County","AL",1021,"H1",FALSE
"Urgent Care Associates Inc","155 Ana Drive  Florence, AL   ZIP 35630","(256) 766-9595","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-florence-alabama","35630","US","Florence","Alabama","AL","Lauderdale",34.8305,-87.656,"Lauderdale County","AL",1077,"H1",FALSE
"Gardendale Urgent Care","210 Fieldstown Road #124  Gardendale, AL   ZIP 35071","(205) 285-8252","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-gardendale-alabama","35071","US","Gardendale","Alabama","AL","Jefferson",33.7189,-86.8225,"Jefferson County","AL",1073,"H1",FALSE
"South Baldwin Medical Center – Gulf Shores Urgent Care","101 East 15th Avenue  Gulf Shores, AL   ZIP 36542","(251) 962-1250","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-gulf-shores-alabama","36542","US","Gulf Shores","Alabama","AL","Baldwin",30.2717,-87.7589,"Baldwin County","AL",1003,"H1",FALSE
"Lakeside North Urgent Care","7938 Alabama 69 #130  Guntersville, AL   ZIP 35976","(256) 753-8460","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-guntersville-alabama","35976","US","Guntersville","Alabama","AL","Marshall",34.3449,-86.2752,"Blount County","AL",1009,"H1",FALSE
"Lakeside North Urgent Care","7938 Alabama 69 #130  Guntersville, AL   ZIP 35976","(256) 753-8460","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-guntersville-alabama","35976","US","Guntersville","Alabama","AL","Marshall",34.3449,-86.2752,"Cullman County","AL",1043,"H1",TRUE
"Lakeside North Urgent Care","7938 Alabama 69 #130  Guntersville, AL   ZIP 35976","(256) 753-8460","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-guntersville-alabama","35976","US","Guntersville","Alabama","AL","Marshall",34.3449,-86.2752,"Marshall County","AL",1095,"H1",TRUE
"Community Urgent Care of Hartselle","1635 U.S. 31  Hartselle, AL   ZIP 35640","(256) 773-0110","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-hartselle-alabama","35640","US","Hartselle","Alabama","AL","Morgan",34.4482,-86.9242,"Morgan County","AL",1103,"H1",FALSE
"It's About Time Urgent Care - Walk In Medical Clinic","225 Helena Market Place  Helena, AL   ZIP 35080","(205) 685-4870","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-helena-alabama","35080","US","Helena","Alabama","AL","Shelby",33.2663,-86.902,"Jefferson County","AL",1073,"H1",FALSE
"It's About Time Urgent Care - Walk In Medical Clinic","225 Helena Market Place  Helena, AL   ZIP 35080","(205) 685-4870","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-helena-alabama","35080","US","Helena","Alabama","AL","Shelby",33.2663,-86.902,"Shelby County","AL",1117,"H1",TRUE
"Hoover Urgent Care","2503 John Hawkins Parkway #Ste 105  Hoover, AL   ZIP 35244","(205) 987-6801","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-hoover-alabama","35244","US","Birmingham","Alabama","AL","Jefferson",33.3538,-86.8254,"Jefferson County","AL",1073,"H1",FALSE
"Hoover Urgent Care","2503 John Hawkins Parkway #Ste 105  Hoover, AL   ZIP 35244","(205) 987-6801","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-hoover-alabama","35244","US","Birmingham","Alabama","AL","Jefferson",33.3538,-86.8254,"Shelby County","AL",1117,"H1",TRUE
"Urgent Care Clinic","Hospital Drive  Jackson, AL   ZIP 36545","(251) 246-9021","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-jackson-alabama","36545","US","Jackson","Alabama","AL","Clarke",31.5131,-87.8672,"Clarke County","AL",1025,"H1",FALSE
"Auburn Urgent Care, Inc. (Tigertown)","2638 Enterprise Drive  Opelika, AL   ZIP 36801","(334) 749-9191","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-opelika-alabama","36801","US","Opelika","Alabama","AL","Lee",32.6454,-85.3783,"Chambers County","AL",1017,"H1",FALSE
"Auburn Urgent Care, Inc. (Tigertown)","2638 Enterprise Drive  Opelika, AL   ZIP 36801","(334) 749-9191","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-opelika-alabama","36801","US","Opelika","Alabama","AL","Lee",32.6454,-85.3783,"Lee County","AL",1081,"H1",TRUE
"Urgent Care PC","3143 Pelham Parkway  Pelham, AL   ZIP 35124","(205) 620-2270","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-pelham-alabama","35124","US","Pelham","Alabama","AL","Shelby",33.2932,-86.768,"Shelby County","AL",1117,"H1",FALSE
"Urgent Care of Russellville","13150 U.S. 43  Russellville, AL   ZIP 35653","(256) 331-2092","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-russellville-alabama","35653","US","Russellville","Alabama","AL","Franklin",34.5066,-87.7257,"Colbert County","AL",1033,"H1",FALSE
